School_ID,Short_Name,Long_Name,School_Type,School_Latitude,School_Longitude,Website,Creative_School_Certification
610026,KINZIE,John H Kinzie Elementary School,Neighborhood,41.789965,-87.779483,http://kinzie.cps.edu,DEVELOPING
610352,DURKIN PARK,Durkin Park Elementary School,Neighborhood,41.738844,-87.729955,https://durkinpark.com,STRONG
400069,POLARIS,Polaris Charter Academy,Charter,41.89255,-87.707796,https://pcachicago.org,STRONG
609944,GRISSOM,Virgil Grissom Elementary School,Neighborhood,41.662481,-87.553307,https://grissom.cps.edu,EXCELLING
609995,HITCH,Rufus M Hitch Elementary School,Neighborhood,41.983672,-87.779123,https://hitch.cps.edu,EXCELLING
610298,LENART,Lenart Elementary Regional Gifted Center,Regional gifted center,41.747186,-87.62804,https://lenart.cps.edu,STRONG
610038,LINCOLN,Abraham Lincoln Elementary School,Neighborhood,41.924525,-87.644497,https://www.lincolnelementary.org,DEVELOPING
610109,OWEN,William Bishop Owen Scholastic Academy ES,Magnet,41.74285,-87.705749,https://owenscholasticacademy.org,STRONG
609682,RICHARDS HS,Ellen H Richards Career Academy High School,Neighborhood,41.802881,-87.662278,https://richards.cps.edu,STRONG
609978,SMITH,Wendell Smith Elementary School,Neighborhood,41.707558,-87.60466,https://wendellsmith.cps.edu,INCOMPLETE DATA
609834,LITTLE VILLAGE,Little Village Elementary School,Neighborhood,41.843698,-87.717319,https://lva.cps.edu,EXCELLING
610037,LIBBY,Arthur A Libby Elementary School,Neighborhood,41.797685,-87.659933,https://libby.cps.edu,EMERGING
610165,SCHUBERT,Franz Peter Schubert Elementary School,Neighborhood,41.930403,-87.76119,https://schubertes.org,DEVELOPING
609930,FUNSTON,Frederick Funston Elementary School,Neighborhood,41.917617,-87.716892,https://funston.cps.edu,STRONG
610065,TILL,Emmett Louis Till Math and Science Academy,Neighborhood,41.775424,-87.609357,https://emmetttillelementary.com,EXCELLING
610245,DOUGLASS HS,Frederick A Douglass Academy High School,Neighborhood,41.890369,-87.767668,https://douglassacademy.org,STRONG
609799,BELL,Alexander Graham Bell Elementary School,Regional gifted center,41.94953,-87.686018,http://bell.cps.edu,EXCELLING
609897,EARLE,Charles W Earle Elementary School,Neighborhood,41.781225,-87.675547,https://earlestemelementary.org,DEVELOPING
609926,FRANKLIN,Franklin Elementary Fine Arts Center,Magnet,41.9066,-87.635513,https://franklinfineartscenter.net,EXCELLING
610366,WACKER,Charles H Wacker Elementary School,Neighborhood,41.716193,-87.648044,https://wackerwildcats.org,EMERGING
610282,MCNAIR,Ronald E McNair Elementary School,Neighborhood,41.897819,-87.746731,https://mcnairschool.org,STRONG
610533,PRIETO,Dr Jorge Prieto Math and Science,Neighborhood,41.921318,-87.765781,http://prieto.cps.edu,STRONG
609849,CASSELL,George F Cassell Elementary School,Neighborhood,41.687347,-87.703215,https://cassell.cps.edu,EXCELLING
610219,WASHINGTON G ES,George Washington Elementary School,Neighborhood,41.688131,-87.536015,https://gwashington.cps.edu,DEVELOPING
609859,CLINTON,DeWitt Clinton Elementary School,Neighborhood,41.992541,-87.69836,https://clinton.cps.edu,EXCELLING
400129,YCCS - PROGRESSIVE LEADERSHIP,YCCS-Progressive Leadership Academy,Charter,41.773962,-87.61574,https://www.pla-yccs.org,INCOMPLETE DATA
400134,YCCS - ADDAMS,YCCS-Jane Addams Alternative HS,Charter,41.857208,-87.644888,https://www.jahs.org,
