Zipcode,Unemployed,people who prefered to walk,Mean travel time to work (minutes),Mean household income (dollars),Per capita income (dollars),Employed and With private health insurance,,,,,,,,,,,,,,,,,,,,,
Estimate,"4,293","1,057",32.6,"79,772","24,818","24,056",,,,,,,,,,,,,,,,,,,,,
Percent,6.2%,2.9%,N/A,N/A,N/A,65.9%,,,,,,,,,,,,,,,,,,,,,
60633,647,15,37.9,"70,670","28,436","3,687",,,,,,,,,,,,,,,,,,,,,
Estimate,647,15,37.9,"70,670","28,436","3,687",,,,,,,,,,,,,,,,,,,,,
Percent,6.6%,0.3%,N/A,N/A,N/A,76.4%,,,,,,,,,,,,,,,,,,,,,
60634,"1,968",420,36.2,"103,563","38,706","28,786",,,,,,,,,,,,,,,,,,,,,
Estimate,"1,968",420,36.2,"103,563","38,706","28,786",,,,,,,,,,,,,,,,,,,,,
Percent,3.2%,1.1%,N/A,N/A,N/A,79.2%,,,,,,,,,,,,,,,,,,,,,
60636,"2,365",59,40.4,"54,333","21,102","5,408",,,,,,,,,,,,,,,,,,,,,
Estimate,"2,365",59,40.4,"54,333","21,102","5,408",,,,,,,,,,,,,,,,,,,,,
Percent,9.5%,0.6%,N/A,N/A,N/A,58.6%,,,,,,,,,,,,,,,,,,,,,
60637,"3,609","2,581",32.5,"79,178","34,436","13,520",,,,,,,,,,,,,,,,,,,,,
Estimate,"3,609","2,581",32.5,"79,178","34,436","13,520",,,,,,,,,,,,,,,,,,,,,
Percent,8.6%,13.1%,N/A,N/A,N/A,71.4%,,,,,,,,,,,,,,,,,,,,,
60638,"1,687",395,33.5,"101,735","36,718","22,207",,,,,,,,,,,,,,,,,,,,,
Estimate,"1,687",395,33.5,"101,735","36,718","22,207",,,,,,,,,,,,,,,,,,,,,
Percent,3.7%,1.5%,N/A,N/A,N/A,85.1%,,,,,,,,,,,,,,,,,,,,,
60639,"2,311","1,142",36.9,"77,633","24,798","22,582",,,,,,,,,,,,,,,,,,,,,
Estimate,"2,311","1,142",36.9,"77,633","24,798","22,582",,,,,,,,,,,,,,,,,,,,,
Percent,3.5%,3.0%,N/A,N/A,N/A,63.2%,,,,,,,,,,,,,,,,,,,,,
60640,"2,386","1,765",35.5,"98,340","55,871","33,995",,,,,,,,,,,,,,,,,,,,,
